K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,cat_recall_10
0,0.0,aggregate,0.06,0.155,0.205,0.275,3,15,0.024,0.2575192153453827,0.2616349490881679,0.1736423212772115,0.08715310405607206,0.2616349490881679,0.2547940956466137,0.2688532710830078,0.6038305954464264,0.0045704037278110725,0.21744189226661895,0.38759736589986515,0.38638870317980745,0.18225000000000002
0,0.3,aggregate,0.055,0.155,0.22,0.3225,8,15,0.0285,0.19796104729175568,0.18976771787461705,0.09330234146837896,0.03465688153991739,0.18976771787461708,0.19299438314777345,0.18664717137789957,0.5258153305122861,0.5127104580124595,0.21744189226661895,0.38759736589986515,0.3083734382456672,0.19075000000000003
0,0.5,aggregate,0.055,0.16,0.2275,0.3275,8,15,0.03,0.3102583885192871,0.20223753024280172,0.10726150640209246,0.041723827353352276,0.2022375302428017,0.2053605479730621,0.19920807614390587,0.5280975211880665,0.506013615072358,0.21744189226661895,0.38759736589986515,0.3106556289214476,0.19150000000000003
0,0.7,aggregate,0.0575,0.1675,0.225,0.3325,7,15,0.04,0.42670607566833496,0.22390042616947534,0.13152884220606328,0.053954883336921104,0.2239004261694753,0.22780632517533597,0.22012620814935374,0.5251081305111819,0.48849859228330383,0.21744189226661895,0.38759736589986515,0.30766623824456296,0.19225
0,0.7,heldout_like_c,0.13333333333333333,0.2,0.26666666666666666,0.43333333333333335,7,15,0.03333333333333333,0.37443581223487854,0.7359608524834746,0.29501842991222754,0.18872651356993736,0.7359608524834745,0.7600599538128111,0.7133429983094779,0.5600826186673586,0.526755668352368,0.22755996447907997,0.6457622410422182,0.33252265418827864,0.25
0,0.9,aggregate,0.0475,0.115,0.2025,0.295,5,15,0.055999999999999994,0.5517531037330627,0.2703966836625527,0.18358434763056852,0.07819977657467686,0.2703966836625527,0.2763800589118955,0.26466688784342757,0.5119754365652917,0.4068763871366856,0.21744189226661895,0.38759736589986515,0.29453354429867273,0.1805
