experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness
d,dinov2-large,mert-330m,0,0.7,heldout_like_c,0.0384615384615384,0.1923076923076923,0.1923076923076923,0.3846153846153846,2,15,0.0307692307692307,0.4401737749576568,0.7623498740503198,0.14300978083548,0.1001761892776239,0.76234987405032,0.7627554943998008,0.7619446848755012
unsup,dinov2-large,mert-330m,0,1.0,aggregate,0.01,0.0375,0.06,0.095,3,15,0.1275,0.6545253992080688,0.4008926011239176,0.3322864721321607,0.1525552932675591,0.4008926011239176,0.3930597942263241,0.4090439364004309
unsup,dinov2-large,mert-330m,0,1.0,heldout_like_c,0.0,0.0,0.0384615384615384,0.0384615384615384,1,15,0.0615384615384615,0.6563007831573486,0.72725472006381,0.1316757910944956,0.1169126826760666,0.72725472006381,0.7029811151310977,0.7532645895510639
text,dinov2-large,mert-330m,0,,aggregate,0.0625,0.1675,0.2325,0.32,3,15,0.017,0.2468788623809814,0.192719912486905,0.1007890208577377,0.0308118196349537,0.192719912486905,0.18372792034785,0.2026373688216486
text,dinov2-large,mert-330m,0,,heldout_like_c,0.0384615384615384,0.0769230769230769,0.1923076923076923,0.3461538461538461,3,15,0.0076923076923076,0.2822282910346985,0.6265838445186177,-0.0293203864952653,-0.0228999348817017,0.6265838445186176,0.5746674108156137,0.6888123243255843
c-direct,dinov2-large,mert-95m,300,0.5,aggregate,0.6,0.6475,0.6775,0.715,11,15,0.0375,0.4658312499523163,0.2223765876080996,0.1307453908261604,0.043410262799433,0.2223765876080996,0.2243091025615773,0.220477087040626
c-direct,dinov2-large,mert-95m,300,0.5,heldout,0.02,0.04,0.05,0.09,2,15,0.042,0.6232995986938477,0.3986705577915157,0.0963891096412642,0.0568949401245127,0.3986705577915157,0.4078970011962031,0.3898522777686846
d,dinov2-large,mert-95m,0,0.7,aggregate,0.0475,0.145,0.23,0.335,6,15,0.0175,0.3834623694419861,0.1988718510984904,0.1036030711530812,0.0392362576785103,0.1988718510984904,0.2005559595834146,0.197215790679571
d,dinov2-large,mert-95m,0,0.7,heldout_like_c,0.1111111111111111,0.1851851851851851,0.2592592592592592,0.2962962962962963,3,15,0.0,0.5395963788032532,0.722732801270787,0.1641012238713314,0.1178571428571428,0.7227328012707868,0.6837227732869173,0.7664636364494545
unsup,dinov2-large,mert-95m,0,1.0,aggregate,0.005,0.015,0.0325,0.0525,1,15,0.096,0.6338881254196167,0.3272411613302211,0.2491989104971098,0.1090962648518453,0.3272411613302211,0.3130460378009332,0.3427847935800049
unsup,dinov2-large,mert-95m,0,1.0,heldout_like_c,0.0,0.0,0.0,0.0,0,15,0.0666666666666666,0.6290388107299805,0.7833962597769119,0.3452541631358806,0.3139506474468605,0.7833962597769119,0.7392860481312746,0.8331042228670157
text,dinov2-large,mert-95m,0,,aggregate,0.0625,0.1675,0.2325,0.32,6,15,0.024,0.2558916807174682,0.2098542365483564,0.1213225259636312,0.0339876118856157,0.2098542365483564,0.204843477873147,0.2151162824262018
text,dinov2-large,mert-95m,0,,heldout_like_c,0.074074074074074,0.1481481481481481,0.2222222222222222,0.2962962962962963,2,15,0.0074074074074074,0.3369643092155456,0.7105011556505328,0.0614605860012975,0.067517656968833,0.7105011556505328,0.6837227732869172,0.739462620089038
c-direct,dinov2-small,clap-fused,300,0.5,aggregate,0.7025,0.78,0.7875,0.8225,13,15,0.064,0.340829998254776,0.2636986298866711,0.1757401696481317,0.0824906745549427,0.2636986298866711,0.2650632311014518,0.2623480072150418
c-direct,dinov2-small,clap-fused,300,0.5,heldout,0.03,0.15,0.17,0.29,4,15,0.04,0.3979858160018921,0.3633172270264074,0.0372876967111826,0.0150459738088604,0.3633172270264074,0.3656805857588442,0.3609842204548024
d,dinov2-small,clap-fused,0,0.7,aggregate,0.05,0.155,0.235,0.355,10,15,0.0405,0.3972912132740021,0.2464468453692483,0.1564010097237696,0.0710911528747813,0.2464468453692483,0.2473459654214053,0.2455542383714517
