K,alpha=0.0,alpha=0.3,alpha=0.5,alpha=0.7,alpha=0.9
10,0.162 / 5/10,0.192 / 5/10,0.197 / 6/10,0.195 / 6/10,0.151 / 5/10
20,0.211 / 4/10,0.239 / 5/10,0.247 / 5/10,0.239 / 5/10,0.174 / 5/10
50,0.437 / 9/10,0.429 / 9/10,0.411 / 9/10,0.400 / 9/10,0.331 / 9/10
100,0.587 / 8/10,0.590 / 8/10,0.590 / 8/10,0.560 / 8/10,0.433 / 6/10
160,0.742 / 9/10,0.733 / 9/10,0.733 / 9/10,0.704 / 9/10,0.537 / 8/10
200,0.750 / 9/10,0.755 / 9/10,0.755 / 10/10,0.760 / 9/10,0.580 / 9/10
300,0.800 / 8/10,0.780 / 8/10,0.780 / 7/10,0.760 / 7/10,0.570 / 6/10
