K,alpha=0.0,alpha=0.3,alpha=0.5,alpha=0.7,alpha=0.9
10,0.182 / 4/10,0.212 / 4/10,0.217 / 4/10,0.215 / 4/10,0.168 / 6/10
20,0.250 / 4/10,0.278 / 4/10,0.285 / 5/10,0.278 / 7/10,0.203 / 8/10
50,0.507 / 8/10,0.500 / 7/10,0.485 / 7/10,0.472 / 7/10,0.393 / 8/10
100,0.690 / 7/10,0.693 / 7/10,0.693 / 6/10,0.667 / 7/10,0.540 / 8/10
160,0.845 / 7/10,0.840 / 6/10,0.840 / 7/10,0.818 / 7/10,0.677 / 9/10
200,0.875 / 7/10,0.877 / 7/10,0.877 / 8/10,0.875 / 8/10,0.745 / 9/10
300,0.950 / 9/10,0.945 / 9/10,0.945 / 8/10,0.930 / 8/10,0.835 / 9/10
