K,alpha=0.0,alpha=0.3,alpha=0.5,alpha=0.7,alpha=0.9
10,0.087 / 4/15,0.080 / 5/15,0.077 / 5/15,0.068 / 5/15,0.062 / 5/15
20,0.095 / 6/15,0.107 / 6/15,0.085 / 5/15,0.083 / 5/15,0.055 / 5/15
50,0.180 / 7/15,0.163 / 6/15,0.150 / 5/15,0.128 / 5/15,0.083 / 5/15
100,0.273 / 5/15,0.265 / 7/15,0.258 / 5/15,0.188 / 5/15,0.113 / 5/15
160,0.417 / 5/15,0.405 / 5/15,0.350 / 5/15,0.253 / 5/15,0.142 / 4/15
200,0.517 / 3/15,0.485 / 5/15,0.432 / 4/15,0.300 / 4/15,0.158 / 4/15
300,0.718 / 8/15,0.693 / 7/15,0.608 / 6/15,0.453 / 4/15,0.250 / 4/15
400,0.943 / 9/15,0.900 / 10/15,0.860 / 9/15,0.740 / 7/15,0.460 / 4/15
