K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,bridge_top_k,bridge_tau,K_per_leg,alpha_per_leg
300,0.7,aggregate,0.0425,0.13,0.175,0.2625,6,15,0.045,0.4838075339794159,0.3018247681871755,0.2203938817638906,0.13465152028625743,0.3018247681871756,0.2909048219821776,0.31359651201009164,0.5142422465118854,0.40065127462074185,0.21744189226661895,0.38759736589986515,0.2968003542452665,20,0.1,300,0.7
300,0.7,heldout,0.0,0.06666666666666667,0.06666666666666667,0.23333333333333334,5,15,0.02666666666666667,0.554731547832489,0.7756905256354519,0.46515107462813937,0.47546609776458587,0.775690525635452,0.754680529750841,0.7979038407395094,0.4967829786214625,0.4009137745447135,0.22755996447907997,0.6457622410422182,0.2692230141423825,20,0.1,300,0.7
