K,alpha=0.0,alpha=0.3,alpha=0.5,alpha=0.7,alpha=0.9
10,0.064 / 5/15,0.056 / 5/15,0.059 / 7/15,0.051 / 7/15,0.051 / 7/15
20,0.047 / 1/15,0.061 / 2/15,0.050 / 2/15,0.055 / 2/15,0.042 / 2/15
50,0.080 / 6/15,0.066 / 7/15,0.060 / 7/15,0.063 / 7/15,0.057 / 6/15
100,0.050 / 5/15,0.063 / 4/15,0.073 / 3/15,0.070 / 3/15,0.063 / 3/15
160,0.075 / 6/15,0.083 / 6/15,0.071 / 6/15,0.071 / 5/15,0.054 / 3/15
200,0.095 / 1/15,0.095 / 2/15,0.090 / 2/15,0.080 / 2/15,0.050 / 1/15
300,0.080 / 4/15,0.090 / 5/15,0.060 / 6/15,0.050 / 4/15,0.050 / 3/15
400,nan / 0/15,nan / 0/15,nan / 0/15,nan / 0/15,nan / 0/15
