K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift
10,0.0,aggregate,0.0225,0.055,0.0875,0.1275,4,15,0.055999999999999994,0.4334341287612915,0.3318514581563242,0.25174166911586665,0.10099010477568364,0.3318514581563243,0.33771870292851314,0.3261845973721718,0.2619927980104674,0.24822446988120178,0.21744189226661895,0.38759736589986515,0.04455090574384843
10,0.0,heldout,0.007692307692307693,0.03333333333333333,0.0641025641025641,0.10512820512820513,5,15,0.0558974358974359,0.43157467246055603,0.31460743705292304,0.23163060687871723,0.10811475541504052,0.31460743705292304,0.31906879904036,0.31026911614901115,0.2581039071560272,0.24671113774937878,0.21631097248700676,0.6243256379261082,0.041792934669020454
10,0.3,aggregate,0.025,0.055,0.08,0.1225,5,15,0.0745,0.5837230682373047,0.36638040017419726,0.2903674565338053,0.1363379234210916,0.3663804001741973,0.3722115033423875,0.36072918024441725,0.274797922397378,0.24853622268732,0.21744189226661895,0.38759736589986515,0.057356030130759045
10,0.3,heldout,0.007692307692307693,0.03333333333333333,0.05641025641025641,0.1,5,15,0.07333333333333333,0.5842496752738953,0.3366722401270813,0.2562873521787242,0.1254925366671923,0.33667224012708125,0.3409500421939386,0.3325004526290221,0.27079028326342597,0.24705459619013706,0.21631097248700676,0.6243256379261082,0.05447931077641921
10,0.5,aggregate,0.025,0.045,0.0775,0.1175,5,15,0.077,0.6325145363807678,0.38909980697740815,0.31581305721476205,0.15281124318901426,0.38909980697740815,0.39509394716133234,0.38328482801855224,0.27431558184306687,0.24808230782371612,0.21744189226661895,0.38759736589986515,0.05687368957644792
10,0.5,heldout,0.007692307692307693,0.028205128205128206,0.05897435897435897,0.09743589743589744,7,15,0.07846153846153846,0.6329154372215271,0.3560722055519778,0.2780497747632392,0.1422963536752833,0.35607220555197777,0.36043951929961654,0.35180945908566424,0.26977106691915104,0.24662885019757605,0.21631097248700676,0.6243256379261082,0.05346009443214428
10,0.7,aggregate,0.0175,0.05,0.0675,0.1125,5,15,0.09449999999999999,0.6583818197250366,0.41170708497380953,0.34102455318898744,0.16535374246682077,0.4117070849738096,0.4148142523013733,0.40864612005822104,0.27901339767396655,0.24672904509592308,0.21744189226661895,0.38759736589986515,0.0615715054073476
10,0.7,heldout,0.005128205128205128,0.035897435897435895,0.05128205128205128,0.09743589743589744,7,15,0.09333333333333335,0.6580629348754883,0.36960474551819256,0.2930837279842577,0.16098844348110788,0.36960474551819256,0.37151600692809267,0.3677130484009229,0.2741185855968318,0.24532691409021332,0.21631097248700676,0.6243256379261082,0.05780761310982502
10,0.9,aggregate,0.0175,0.0425,0.0625,0.115,5,15,0.121,0.6756829023361206,0.4371087726934926,0.36965924173622533,0.17931341836451117,0.43710877269349263,0.4392579070753765,0.43498056583726,0.2586562271046969,0.24309253504695158,0.21744189226661895,0.38759736589986515,0.04121433483807793
10,0.9,heldout,0.007692307692307693,0.03076923076923077,0.05128205128205128,0.10512820512820513,7,15,0.12153846153846155,0.6769498586654663,0.4286810604298316,0.3594505570492243,0.18820594601693402,0.4286810604298317,0.42971532989354555,0.4276517577186123,0.25633094995752037,0.24176507515185375,0.21631097248700676,0.6243256379261082,0.04001997747051361
20,0.0,aggregate,0.035,0.0725,0.095,0.14,6,15,0.06299999999999999,0.38386744260787964,0.3244460920187673,0.2430418115601118,0.09671059301801901,0.32444609201876723,0.33125996055971535,0.31790689013638207,0.27592561192070125,0.24977177936812697,0.21744189226661895,0.38759736589986515,0.058483719654082306
20,0.0,heldout,0.005263157894736842,0.02631578947368421,0.04736842105263158,0.09473684210526316,1,15,0.061052631578947365,0.38619616627693176,0.31801391270341334,0.23140535764542913,0.11131418048656423,0.31801391270341334,0.3195179558343488,0.31652396297260005,0.2668937505158611,0.24627907032440435,0.21630878324531522,0.6210802240973075,0.0505849672705459
20,0.3,aggregate,0.04,0.0775,0.1075,0.1425,6,15,0.07,0.5404585599899292,0.37213210811061154,0.29635319234304874,0.13644026110003293,0.3721321081106116,0.3796646567109151,0.3648926364625051,0.26144686246974713,0.2493205824793082,0.21744189226661895,0.38759736589986515,0.044004970203128185
20,0.3,heldout,0.007894736842105263,0.034210526315789476,0.060526315789473685,0.09736842105263158,2,15,0.07210526315789474,0.5454462766647339,0.34951177891603596,0.2667417142105724,0.14668593564426946,0.34951177891603596,0.350864316437556,0.3481696290731665,0.2526864221272769,0.2460469031407207,0.21630878324531522,0.6210802240973075,0.03637763888196166
20,0.5,aggregate,0.0275,0.065,0.085,0.13,5,15,0.06699999999999999,0.5970208644866943,0.3966172336535545,0.3239661515387109,0.15183244762109882,0.3966172336535545,0.4034217522454017,0.39003845132756026,0.24997221558582466,0.24824667329835257,0.21744189226661895,0.38759736589986515,0.03253032331920572
20,0.5,heldout,0.002631578947368421,0.031578947368421054,0.05,0.08947368421052632,2,15,0.07,0.6006866693496704,0.36355592231087375,0.28275730994997283,0.15886771232331223,0.3635559223108738,0.3639296489993614,0.36318296240988807,0.2415005601468715,0.24508076976847165,0.21630878324531522,0.6210802240973075,0.025191776901556273
20,0.7,aggregate,0.025,0.05,0.0825,0.12,5,15,0.08149999999999999,0.6371356248855591,0.38718107603793606,0.3133817769019551,0.14725794191841685,0.38718107603793606,0.3911219609196632,0.3833188144629363,0.2604989624532424,0.24645009378269755,0.21744189226661895,0.38759736589986515,0.04305707018662344
20,0.7,heldout,0.002631578947368421,0.02894736842105263,0.05526315789473684,0.09473684210526316,2,15,0.08421052631578947,0.639074981212616,0.37901639562974937,0.30008103215399895,0.17570234082837385,0.3790163956297493,0.37723961748065404,0.3808099900400583,0.2528416727830273,0.24339168474220893,0.21630878324531522,0.6210802240973075,0.03653288953771211
20,0.9,aggregate,0.015,0.045,0.055,0.115,5,15,0.126,0.666674017906189,0.41631041950446723,0.346869445885922,0.16791547376947463,0.41631041950446723,0.4173396595991604,0.4152862435298523,0.2566993824138202,0.242823274601297,0.21744189226661895,0.38759736589986515,0.03925749014720123
