K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift
300,nan,aggregate,0.3475,0.525,0.5975,0.67,0,15,0.1045,0.37719517946243286,0.299727943654374,0.22647380636631237,0.10518012160900507,0.299727943654374,0.2824885586978732,0.3192082132061889,0.34839389453882347,0.2357314298673223,0.21744189226661895,0.38759736589986515,0.13095200227220452
300,nan,heldout,0.02,0.06,0.11,0.2,2,15,0.12599999999999997,0.3679889440536499,0.34604129110397286,0.13821760366408578,0.04401202561049197,0.34604129110397286,0.3102994828296275,0.391088807993379,0.3381338732644151,0.2517760571855923,0.2342847012848523,0.6493716523566926,0.10384917197956278
