K,alpha=0.0,alpha=0.3,alpha=0.5,alpha=0.7,alpha=0.9
10,0.108 / 8/20,0.113 / 7/20,0.123 / 8/20,0.141 / 8/20,0.146 / 9/20
20,0.147 / 10/20,0.139 / 10/20,0.155 / 11/20,0.153 / 11/20,0.155 / 9/20
50,0.191 / 7/20,0.194 / 7/20,0.200 / 6/20,0.206 / 7/20,0.200 / 8/20
100,0.307 / 10/20,0.313 / 11/20,0.300 / 11/20,0.277 / 10/20,0.233 / 10/20
160,0.304 / 9/20,0.317 / 9/20,0.304 / 9/20,0.283 / 9/20,0.237 / 8/20
200,0.340 / 12/20,0.345 / 12/20,0.335 / 13/20,0.305 / 12/20,0.260 / 10/20
300,0.360 / 7/20,0.360 / 7/20,0.340 / 7/20,0.310 / 7/20,0.250 / 6/20
400,nan / 0/20,nan / 0/20,nan / 0/20,nan / 0/20,nan / 0/20
