method,K,alpha,scope,p,nucleus_hit,nucleus_mean_size
FGW transitive (identity bridge),50,0.5,heldout_like_c,0.5,0.033,34.5
FGW transitive (identity bridge),50,0.5,aggregate,0.9,0.632,131.5
FGW transitive (identity bridge),50,0.5,heldout_like_c,0.9,0.467,142.6
FGW transitive (identity bridge),50,0.7,aggregate,0.5,0.318,51.5
FGW transitive (identity bridge),50,0.7,heldout_like_c,0.5,0.133,56.7
FGW transitive (identity bridge),50,0.7,aggregate,0.9,0.762,176.2
FGW transitive (identity bridge),50,0.7,heldout_like_c,0.9,0.700,183.0
FGW transitive (identity bridge),50,0.9,aggregate,0.5,0.448,88.4
FGW transitive (identity bridge),50,0.9,heldout_like_c,0.5,0.400,89.1
FGW transitive (identity bridge),50,0.9,aggregate,0.9,0.895,238.3
FGW transitive (identity bridge),50,0.9,heldout_like_c,0.9,0.933,237.1
FGW transitive (identity bridge),100,0.0,aggregate,0.5,0.125,5.2
FGW transitive (identity bridge),100,0.0,heldout_like_c,0.5,0.033,7.5
FGW transitive (identity bridge),100,0.0,aggregate,0.9,0.383,29.5
FGW transitive (identity bridge),100,0.0,heldout_like_c,0.9,0.233,40.7
FGW transitive (identity bridge),100,0.3,aggregate,0.5,0.163,9.1
FGW transitive (identity bridge),100,0.3,heldout_like_c,0.5,0.067,13.1
FGW transitive (identity bridge),100,0.3,aggregate,0.9,0.525,51.7
FGW transitive (identity bridge),100,0.3,heldout_like_c,0.9,0.400,68.5
FGW transitive (identity bridge),100,0.5,aggregate,0.5,0.217,15.4
FGW transitive (identity bridge),100,0.5,heldout_like_c,0.5,0.100,21.5
FGW transitive (identity bridge),100,0.5,aggregate,0.9,0.632,79.4
FGW transitive (identity bridge),100,0.5,heldout_like_c,0.9,0.433,100.3
FGW transitive (identity bridge),100,0.7,aggregate,0.5,0.333,30.8
FGW transitive (identity bridge),100,0.7,heldout_like_c,0.5,0.167,38.0
FGW transitive (identity bridge),100,0.7,aggregate,0.9,0.748,129.2
FGW transitive (identity bridge),100,0.7,heldout_like_c,0.9,0.733,147.9
FGW transitive (identity bridge),100,0.9,aggregate,0.5,0.512,74.3
FGW transitive (identity bridge),100,0.9,heldout_like_c,0.5,0.433,79.8
FGW transitive (identity bridge),100,0.9,aggregate,0.9,0.875,218.9
FGW transitive (identity bridge),100,0.9,heldout_like_c,0.9,0.933,222.3
FGW transitive (identity bridge),160,0.0,aggregate,0.5,0.205,3.3
FGW transitive (identity bridge),160,0.0,heldout_like_c,0.5,0.067,3.8
FGW transitive (identity bridge),160,0.0,aggregate,0.9,0.372,16.5
FGW transitive (identity bridge),160,0.0,heldout_like_c,0.9,0.067,18.9
FGW transitive (identity bridge),160,0.3,aggregate,0.5,0.217,5.4
FGW transitive (identity bridge),160,0.3,heldout_like_c,0.5,0.067,6.1
FGW transitive (identity bridge),160,0.3,aggregate,0.9,0.480,30.5
FGW transitive (identity bridge),160,0.3,heldout_like_c,0.9,0.267,35.3
FGW transitive (identity bridge),160,0.5,aggregate,0.5,0.250,9.1
FGW transitive (identity bridge),160,0.5,heldout_like_c,0.5,0.100,10.5
FGW transitive (identity bridge),160,0.5,aggregate,0.9,0.590,51.9
FGW transitive (identity bridge),160,0.5,heldout_like_c,0.9,0.333,62.5
FGW transitive (identity bridge),160,0.7,aggregate,0.5,0.338,20.5
FGW transitive (identity bridge),160,0.7,heldout_like_c,0.5,0.233,24.2
FGW transitive (identity bridge),160,0.7,aggregate,0.9,0.715,96.8
FGW transitive (identity bridge),160,0.7,heldout_like_c,0.9,0.600,113.0
FGW transitive (identity bridge),160,0.9,aggregate,0.5,0.495,64.3
FGW transitive (identity bridge),160,0.9,heldout_like_c,0.5,0.467,71.4
FGW transitive (identity bridge),160,0.9,aggregate,0.9,0.885,201.0
FGW transitive (identity bridge),160,0.9,heldout_like_c,0.9,0.900,207.1
FGW transitive (identity bridge),200,0.0,aggregate,0.5,0.258,2.9
FGW transitive (identity bridge),200,0.0,heldout_like_c,0.5,0.033,3.4
FGW transitive (identity bridge),200,0.0,aggregate,0.9,0.445,13.4
FGW transitive (identity bridge),200,0.0,heldout_like_c,0.9,0.100,16.4
FGW transitive (identity bridge),200,0.3,aggregate,0.5,0.287,4.5
FGW transitive (identity bridge),200,0.3,heldout_like_c,0.5,0.067,5.6
FGW transitive (identity bridge),200,0.3,aggregate,0.9,0.517,24.3
FGW transitive (identity bridge),200,0.3,heldout_like_c,0.9,0.333,30.3
FGW transitive (identity bridge),200,0.5,aggregate,0.5,0.330,7.6
FGW transitive (identity bridge),200,0.5,heldout_like_c,0.5,0.133,9.1
FGW transitive (identity bridge),200,0.5,aggregate,0.9,0.585,41.9
FGW transitive (identity bridge),200,0.5,heldout_like_c,0.9,0.367,52.4
FGW transitive (identity bridge),200,0.7,aggregate,0.5,0.375,17.0
FGW transitive (identity bridge),200,0.7,heldout_like_c,0.5,0.233,20.5
FGW transitive (identity bridge),200,0.7,aggregate,0.9,0.725,82.5
FGW transitive (identity bridge),200,0.7,heldout_like_c,0.9,0.633,94.1
FGW transitive (identity bridge),200,0.9,aggregate,0.5,0.505,58.5
FGW transitive (identity bridge),200,0.9,heldout_like_c,0.5,0.500,64.6
FGW transitive (identity bridge),200,0.9,aggregate,0.9,0.880,189.5
FGW transitive (identity bridge),200,0.9,heldout_like_c,0.9,0.933,196.5
