K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,bridge_top_k,bridge_tau,K_per_leg,alpha_per_leg
300,0.7,aggregate,0.0125,0.05,0.1025,0.1725,5,15,0.023,0.33685997128486633,0.29089844337349785,0.21374732477447458,0.08222874909637978,0.29089844337349796,0.26306242752533304,0.3253225270561771,0.30476707854094137,0.30723242201876544,0.21744189226661895,0.38759736589986515,0.08732518627432242,20,0.1,300,0.7
300,0.7,heldout,0.0,0.038461538461538464,0.07692307692307693,0.11538461538461539,5,15,0.038461538461538464,0.22725600004196167,0.5267224130956817,0.017626850283880054,0.011638821100056316,0.5267224130956818,0.4322219503320017,0.6741086873417778,0.2624778682025138,0.2615400252040541,0.19460491369210678,0.5783881885624559,0.06787295451040701,20,0.1,300,0.7
