K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift
300,0.7,aggregate,0.2375,0.455,0.5475,0.66,7,15,0.0275,0.1855802983045578,0.21269662383249943,0.12407721326100218,0.041642391444827176,0.2126966238324995,0.21892515374061342,0.20681269929959045,0.34123067666884455,0.3187028202398537,0.21744189226661895,0.38759736589986515,0.1237887844022256
300,0.7,heldout_like_c,0.0,0.1,0.15,0.2,6,15,0.030000000000000006,0.08110253512859344,0.8062955812173215,0.17525709892228267,0.13549039433771487,0.8062955812173215,0.7480487663379879,0.8743791077395061,0.19883102054002702,0.2559214651473972,0.21078756176840815,0.6177341696020362,-0.011956541228381135
