K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift
300,nan,aggregate,0.6975,0.7325,0.75,0.7675,3,15,0.0275,0.2906462252140045,0.24176152534053194,0.15019162608236877,0.06036728338712821,0.24176152534053197,0.24582638732474094,0.23782890570571588,0.37066069505763166,0.22319719919718675,0.21744189226661895,0.38759736589986515,0.15321880279101271
300,nan,heldout,0.02,0.02,0.06,0.11,2,15,0.027999999999999997,0.39013946056365967,0.4392891359585544,0.16307468695931057,0.10886860472648771,0.43928913595855434,0.4436629977855882,0.4350006718699947,0.24980679879388692,0.18932953405096695,0.18908910790211433,0.5670053080995435,0.06071769089177259
